Date :,2/7/20 12:24,,,,,,,,,,,
Motion Threshold (au):,20,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
1, 0:00:00.000,20,0,600,,,,,,,,
2, 0:00:20.000,20,600,600,,,,,,,,
3, 0:00:40.000,20,1200,600,,,,,,,,
4, 0:01:00.000,20,1800,600,,,,,,,,
5, 0:01:20.000,20,2400,600,,,,,,,,
6, 0:01:40.000,20,3000,600,,,,,,,,
7, 0:02:00.000,20,3600,600,,,,,,,,
8, 0:02:20.000,20,4200,600,,,,,,,,
9, 0:02:40.000,20,4800,600,,,,,,,,
10, 0:03:00.000,20,5400,600,,,,,,,,
11, 0:03:20.000,20,6000,600,,,,,,,,
12, 0:03:40.000,20,6600,600,,,,,,,,
Tone-1, 0:04:00.000,20,7200,600,,,,,,,,
Trace-1, 0:04:20.000,20,7800,600,,,,,,,,
13, 0:04:40.000,20,8400,600,,,,,,,,
14, 0:05:00.000,20,9000,600,,,,,,,,
15, 0:05:20.000,20,9600,600,,,,,,,,
16, 0:05:40.000,20,10200,600,,,,,,,,
17, 0:06:00.000,20,10800,600,,,,,,,,
18, 0:06:20.000,20,11400,600,,,,,,,,
19, 0:06:40.000,20,12000,600,,,,,,,,
20, 0:07:00.000,20,12600,600,,,,,,,,
21, 0:07:20.000,20,13200,600,,,,,,,,
22, 0:07:40.000,20,13800,600,,,,,,,,
23, 0:08:00.000,20,14400,600,,,,,,,,
24, 0:08:20.000,20,15000,600,,,,,,,,
Tone-2, 0:08:40.000,20,15600,600,,,,,,,,
Trace-2, 0:09:00.000,20,16200,600,,,,,,,,
25, 0:09:20.000,20,16800,600,,,,,,,,
26, 0:09:40.000,20,17400,600,,,,,,,,
27, 0:10:00.000,20,18000,600,,,,,,,,
28, 0:10:20.000,20,18600,600,,,,,,,,
29, 0:10:40.000,20,19200,600,,,,,,,,
30, 0:11:00.000,20,19800,600,,,,,,,,
31, 0:11:20.000,20,20400,600,,,,,,,,
32, 0:11:40.000,20,21000,600,,,,,,,,
33, 0:12:00.000,20,21600,600,,,,,,,,
34, 0:12:20.000,20,22200,600,,,,,,,,
35, 0:12:40.000,20,22800,600,,,,,,,,
36, 0:13:00.000,20,23400,600,,,,,,,,
Tone-3, 0:13:20.000,20,24000,600,,,,,,,,
Trace-3, 0:13:40.000,20,24600,600,,,,,,,,
37, 0:14:00.000,20,25200,600,,,,,,,,
38, 0:14:20.000,20,25800,600,,,,,,,,
39, 0:14:40.000,20,26400,600,,,,,,,,
40, 0:15:00.000,20,27000,600,,,,,,,,
41, 0:15:20.000,20,27600,600,,,,,,,,
42, 0:15:40.000,20,28200,600,,,,,,,,
43, 0:16:00.000,20,28800,600,,,,,,,,
44, 0:16:20.000,20,29400,600,,,,,,,,
45, 0:16:40.000,20,30000,600,,,,,,,,
46, 0:17:00.000,20,30600,600,,,,,,,,
47, 0:17:20.000,20,31200,600,,,,,,,,
48, 0:17:40.000,20,31800,600,,,,,,,,
Tone-4, 0:18:00.000,20,32400,600,,,,,,,,
Trace-4, 0:18:20.000,20,33000,600,,,,,,,,
49, 0:18:40.000,20,33600,600,,,,,,,,
